Questions,OK,OK,OK,OK,Ok,OK,We can put volumes?,OK,OK,OK,OK,OK,OK,OK,"In this case, We need to use the generic degree abbreviation or We can more specific? Do you have some list of official abbreviations?",What is the correct number for El Colegio de México? 2063 or 2069,We can insert the Research Centers?,OK,OK,OK
,0,0,Y,primary,Miño Grijalva,Manuel,560,doctoral,ECM01:990000877060302716,no,Obrajes y tejedores en Nueva España: 1750-1810,1984,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,mio_m_000393200.pdf
,0,0,Y,primary,Garza Toledo,Enrique Modesto de la,2 volumes,doctoral,ECM01:990000256620302716,no,"Acumulación de capital y movimiento obrero en México, 1940-1976",1984,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,garza_em de la.pdf
,0,0,Y,primary,García Fajardo,Josefina,154,doctoral,ECM01:990000807790302716,no,El sentido de los sintagmas nominales y los tipos de predicación,1984,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,garca_j_000308796.pdf
,0,0,Y,primary,López González,Aralia,391,doctoral,ECM01:990001949600302716,no,La espiral parece un círculo: la narrativa de Rosario Castellanos,1984,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,lópez_a.pdf
,0,0,Y,primary,Gutiérrez de Velasco Romo,Luz Elena,245,doctoral,ECM01:990002571580302716,no,La escritura de la amputación o la amputación de la escritura: análisis de Farabeuf o la crónica de un instante y una selección de cuentos de Salvador Elizondo,1984,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,gutirrez_le_000412019.pdf
,0,0,Y,primary,Gann,Myra,"viii, 185 ",doctoral,ECM01:990003338420302716,no,La risa festiva en algunos graciosos de Lope de Vega,1984,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,gann_m_000411368.pdf
,0,0,Y,primary,Osorio Urbina,Jaime,"xi, 399 ",doctoral,ECM01:990000846950302716,no,Las raíces económicas y sociales de la democracia y su ruptura: estudio sobre Chile,1985,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,osorio_J_000410418.pdf
,0,0,Y,primary,Dudley,Janet E.,165,doctoral,ECM01:990000263730302716,no,El proyecto de Macedonio Fernández para una primera novela buena,1985,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,dudley_Je_000405642.pdf
,0,0,Y,primary,Negrete Salas,Martaelena,"xxxiii, 576 ",doctoral,ECM01:990000790680302716,no,Relaciones de la Iglesia con el Estado en México: 1930-1940,1986,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,negrete_me_000401868.pdf
,0,0,Y,primary,Jarquin Ortega,María Teresa,"ix, 409 ",doctoral,ECM01:990000268970302716,no,Formación y desarrollo de un pueblo novohispano en el Valle de Toluca: Metepec,1986,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,jarqun_mt_000394072.pdf
,0,0,Y,primary,Poot Herrera,Sara Guadalupe,301,doctoral,ECM01:990000815070302716,no,El proyecto literario de Juan José Arreola: un giro en espiral,1986,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,poot_sg_000402501.pdf
,0,0,Y,primary,Baños Ramírez,Othón,"x, 366 ",doctoral,ECM01:990000447620302716,no,"Yucatán: ejidos sin campesinos: repercusión de la política agraria en las formas de vida de los ejidatarios, 1940-1984",1987,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,baos_o_000384055.pdf
,0,0,Y,primary,Santoni,Pedro,"xix, 484 ",doctoral,ECM01:990001178930302716,no,Los federalistas radicales y la guerra del 47,1987,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,santoni_p_000393813.pdf
,0,0,Y,primary,Bastian,Jean Pierre,2 volumes,doctoral,ECM01:990000634830302716,no,Las sociedades protestantes en México 1872-1911: un liberalismo radical de oposición al porfirismo y de participación en la revolución maderista,1987,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,bastian_jp_000382315.pdf
,0,0,Y,primary,García Gallegos,Bertha,2 volumes,doctoral,ECM01:990001179040302716,no,"Militares, economía y lucha política: el Ecuador de los años setenta",1987,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,garca_b_000387270.pdf
,0,0,Y,primary,Corral Jorda,Rose,175,doctoral,ECM01:990001761720302716,no,"Roberto Arlt: la identidad cuestionada, una lectura de Los siete locos y Los lanzallamas",1987,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,corral_r_000383703.pdf
,0,0,Y,primary,Amezcua Gómez,José,289,doctoral,ECM01:990001761730302716,no,La esfera honrada: espacio y personajes en El médico de su honra de Calderón,1987,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,amezcua_J_000382097.pdf
,0,0,Y,primary,Moreno Parada,Francisco,288,doctoral,ECM01:990000489680302716,no,La sociedad contra el estado,1988,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,moreno_fa_000376886.pdf
,0,0,Y,primary,Alvarado Mendoza,Arturo,"xxvi, 462 ",doctoral,ECM01:990001069150302716,no,El portesgilismo en Tamaulipas: estado y región en México contemporáneo,1988,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,alvarado_a_000373590.pdf
,0,0,Y,primary,González Block,Miguel Angel,"vii,310 ",doctoral,ECM01:990002048530302716,no,Economía política de las relaciones centro-locales en las Instituciones de salud de México,1989,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,gonzlez_ma_000363524.pdf
,0,0,Y,primary,Jackson,Donna,365,doctoral,ECM01:990001082230302716,no,Una palabra: multiplicidad de intenciones y funciones,1989,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,jackson_d_000365072.pdf
,0,0,Y,primary,Ibarra Bellon,Araceli,639,doctoral,ECM01:990000418600302716,no,"El comercio exterior de México: ruptura y continuidad, 1821-1861",1989,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,ibarra_a_000365337.pdf
,0,0,Y,primary,Sordo Cedeño,Reynaldo,2 volumes,doctoral,ECM01:990000493200302716,no,El congreso en la primera república centralista,1989,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,sordo_r_000370713.pdf
,0,0,Y,primary,Szasz,Ivonne,"vii, 463 ",doctoral,ECM01:990000006400302716,no,"Migración temporal y permanencia de población rural: el caso de Malinalco, en el Estado de México",1990,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,szasz_ir_000317257.pdf
,0,0,Y,primary,Ceballos Ramírez,Manuel,2 volumes,doctoral,ECM01:9900015ECM01:99100302716,no,"El catolicismo social: un tercero en discordia, Rerum novarum, la ""cuestión social"" y la movilización de los católicos mexicanos, 1891-1911",1990,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,ceballos_m_000355324.pdf
,0,0,Y,primary,Martínez Salgado,O. Carolina,374,doctoral,ECM01:990001447720302716,no,Condiciones socio-demográficas como elementos de riesgo para la salud en un contexto agrícola mexiquense,1990,,SP,doctoral,,El Colegio de México. Centro de Estudios Demográficos y de Desarrollo Urbano,D,PDF,martnez_oc_000358130.pdf
,0,0,Y,primary,Kovacs Strumpfner,Karen E,"vi, 302 ",doctoral,ECM01:990001476ECM01:990302716,no,Intervención estatal y transformación del régimen político: el caso de la Universidad Pedagógica Nacional,1990,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,kovacs_ke_000357740.pdf
,0,0,Y,primary,Taylor,Lawrence Douglas,3 volumes,doctoral,ECM01:990001476840302716,no,"La gran aventura en México: el papel de los voluntarios extranjeros en los ejércitos revolucionarios mexicanos, 1910 a 1915",1990,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,taylor_ld_000360710.pdf
,0,0,Y,primary,Quezada,Sergio Prudencio Augusto,294,doctoral,ECM01:990001447890302716,no,"Pueblos y caciques yucatecos, 1550-1580",1990,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,quezada_spa_000359566.pdf
,0,0,Y,primary,Barriga Villanueva,Rebeca,4 volumes,doctoral,ECM01:9900015ECM01:99130302716,no,Entre lo sintáctico y lo discursivo: un análisis comparativo de habla infantil,1990,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,barriga_r_000354223.pdf
,0,0,Y,primary,Pool Westgaard,Marianna,316,doctoral,ECM01:990004953210302716,no,Papeles temáticos y relaciones sintácticas: un estudio de argumentos verbales del español,1990,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,pool_m_000358860.pdf
,0,0,Y,primary,González,Aurelio,584,doctoral,ECM01:990001616240302716,no,El motivo como unidad narrativa a la luz del romancero tradicional,1990,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,gonzlez_a_000357246.pdf
,0,0,Y,primary,Márquez Morfín,Lourdes,402,doctoral,ECM01:990000522370302716,no,"La desigualdad ante la muerte: epidemias, población y sociedad en la Ciudad de México (1800-1850)",1991,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,mrquez_l_000351116.pdf
,0,0,Y,primary,Bracho,Teresa,"x,449 ",doctoral,ECM01:990001385160302716,no,Política y cultura en la organización educativa: la educación tecnológica industrial en México,1991,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,bracho_t_000314619.pdf
,0,0,Y,primary,Ramírez Carrillo,Luis A,3 volumes,doctoral,ECM01:990000573590302716,no,"Elites empresariales: parentesco, coaliciones y empresarios en México: el caso de Yucatán",1991,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,ramrez_la_000351509.pdf
,0,0,Y,primary,Escalante Gonzalbo,Fernando,395,doctoral,ECM01:990002478660302716,no,Ciudadanos imaginarios: memorial de los afanes y desventuras de la virtud y apología del vicio triunfante en la República Mexicana en el primer siglo de su historia ; tratado de moral pública,1991,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,escalante_f_000333686.pdf
,0,0,Y,primary,Izazola Conde,Haydea,"vi, 327 ",doctoral,ECM01:990002047280302716,no,Aspectos sociodemográficos de la organización social del trabajo en el Tabasco petrolero,1991,,SP,doctoral,,El Colegio de México. Centro de Estudios Demográficos y de Desarrollo Urbano,D,PDF,izazola_h_000349212.pdf
,0,0,Y,primary,Muro González,Víctor Gabriel,491,doctoral,ECM01:990000574310302716,no,"Iglesia y movimientos sociales en México, 1972-1987: los casos de Ciudad Juárez y El Istmo de Tehuantepec",1991,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,muro_vg_000349954.pdf
,0,0,Y,primary,Weinberg Marchevsky,Liliana Irene,272,doctoral,ECM01:990000574110302716,no,El orden de la interpretación: un estudio sobre Muerte y transfiguración de Martín Fierro de Ezequiel Martínez Estrada,1991,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,weinberg_li_000351814.pdf
,0,0,Y,primary,García Molina,Carlos Antonio,350,doctoral,ECM01:990002657520302716,no,"La desigualdad social ante la salud y la muerte: el caso de Medellín-Colombia, una visión histórica",1992,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,garcia_ca_000335802.pdf
,0,0,Y,primary,Jiménez Ornelas,René,223,doctoral,ECM01:990002469650302716,no,"Procesos de mortalidad en menores de cinco años: factores sociales, económicos y demográficos más directamente asociados en dos estratos sociales del estado de Guanajuato",1992,,SP,doctoral,,El Colegio de México. Centro de Estudios Demográficos y de Desarrollo Urbano,D,PDF,jimnez_ra_000337273.pdf
,0,0,Y,primary,Paz Félix,Teddie,"iv, 262 ",doctoral,ECM01:990002287150302716,no,La estructura social de la cooperación,1992,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,paz_t_000345660.pdf
,0,0,Y,primary,Quintero Ramírez,Cirila,"xix, 415 , [58] ",doctoral,ECM01:990002657570302716,no,"Reestructuración sindical en las maquiladoras mexicanas, 1970-1990",1992,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,quintero_c_000344827.pdf
,0,0,Y,primary,Figueroa Valenzuela,Alejandro,"xxxviii, 400 ",doctoral,ECM01:990002465470302716,no,Identidad étnica y persistencia cultural: un estudio de la sociedad y de la cultura de los yaquis y de los mayos,1992,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,figueroa_a_000336590.pdf
,0,0,Y,primary,Ortiz Escamilla,Juan,276,doctoral,ECM01:99000277ECM01:9950302716,no,"El ejercicio del poder durante la guerra de independencia en México, 1810-1823",1992,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,ortiz_j_000341110.pdf
,0,0,Y,primary,Kuntz Ficker,Sandra,2 volumes,doctoral,ECM01:990001766480302716,no,"El Ferrocarril Central Mexicano, 1880-1907",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,kuntz_s_000320679.pdf
,0,0,Y,primary,Aboites,Luis,317,doctoral,ECM01:990002469660302716,no,Norte precario: poblamiento y colonización en México 1760-1940,1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,aboites_l_000310111.pdf
,0,0,Y,primary,Carbó Pérez,Teresita Eugenia,5 volumes,doctoral,ECM01:99000277ECM01:9920302716,no,El discurso parlamentario mexicano entre 1920 y 1950: un estudio de caso en metodología de análisis de discurso,1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,carb_te_000320452.pdf
,0,0,Y,primary,Illades Aguiar,Carlos,"xxi, 321 ",doctoral,ECM01:990002828290302716,no,"Hacia la república del trabajo: artesanos y mutualismo en la ciudad de México, 1853-1876",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,illades_c_000320673.pdf
,0,0,Y,primary,Pérez Toledo,Sonia,"x, 457 ",doctoral,ECM01:990002802520302716,no,"Los hijos del trabajo: los artesanos de la ciudad de México, 1780-1853",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,prez_s_000332512.pdf
,0,0,Y,primary,Carrillo Viveros,Jorge,666,doctoral,ECM01:990001766470302716,no,La Ford en México: restructuración industrial y cambio en las relaciones sociales,1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,carrillo_J_000320454.pdf
,0,0,Y,primary,Valdés Zurita,Leonardo,335,doctoral,ECM01:990002809800302716,no,Las consecuencias políticas de las reformas electorales en México: 1978-1991,1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,valds_la_000331222.pdf
,0,0,Y,primary,Herrera Zendejas,Esther,322,doctoral,ECM01:990002768700302716,no,"Palabras, estratos y representaciones: temas de la fonología léxica en zoque",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,herrera_e_000320671.pdf
,0,0,Y,primary,Núñez Zúñiga,Rafael,"xxxvi, 936 ",doctoral,ECM01:99000277ECM01:9940302716,no,Planeación sectorial en la industria siderúrgica,1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,nez_r_000326553.pdf
,0,0,Y,primary,Blanco,Mónica,"248, 58 ",doctoral,ECM01:990002804630302716,no,"Revolución y contienda política en Guanajuato, 1908-1913",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,blanco_m_000320450.pdf
,0,0,Y,primary,Almada Bay,Ignacio,"viii, 513 ",doctoral,ECM01:990002802510302716,no,"La conexión Yocupicio: soberanía estatal, tradición cívico-liberal y resistencia al reemplazo de las lealtades en Sonora, 1913-1939",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,almada_il_000320442.pdf
,0,0,Y,primary,Bailón Corres,Moisés J.,"viii, 439 ",doctoral,ECM01:990002465540302716,no,"Pueblos, élites y territorio: Oaxaca: formación y reproducción de un sistema de dominio regional en el sur de México",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,bailon_m_000320446.pdf
,0,0,Y,primary,Cervantes Bello,Francisco Javier,2 volumes,doctoral,ECM01:990002782890302716,no,"De la impiedad y la usura: los capitales eclesiásticos y el crédito en Puebla, 1825-1863",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,cervantes_fj_000320462.pdf
,0,0,Y,primary,Salinas Sandoval,María del Carmen,460,doctoral,ECM01:990002457440302716,no,"Transformación o permanencia del gobierno municipal: estado de México, 1876-1880",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,salinas_mdelc_000332518.pdf
,0,0,Y,primary,Treviño,Esthela,414,doctoral,ECM01:990002457620302716,no,Minimidad en las construcciones causativas del español,1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,trevio_e_000333926.pdf
,0,0,Y,primary,Valenzuela Arce,José Manuel,418,doctoral,ECM01:990002768810302716,no,El color de las sombras: identidad cultural y acción social de la población de origen mexicano en Estados Unidos,1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,valenzuela_jm_000334324.pdf
,0,0,Y,primary,Blanco Sánchez,María de las Mercedes,286,doctoral,ECM01:990002457640302716,no,"Empleo público en la administración central mexicana: evolución y tendencias, 1920-1988",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Demográficos y de Desarrollo Urbano,D,PDF,blanco_mdelasm_000320448.pdf
,0,0,Y,primary,Rodríguez Arredondo,Oralia,"vi, 226 ",doctoral,ECM01:990002768780302716,no,"El uso de los modos verbales en enunciados causales, finales y condicionales de niños mexicanos de seis años",1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,rodrguez_o_000332516.pdf
,0,0,Y,primary,Gradilla Damy,Misael,531,doctoral,ECM01:990002465550302716,no,El juego del poder y del saber,1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,gradilla_m_000320669.pdf
,0,0,Y,primary,Martínez Garnica,Armando,"viii, 300 ",doctoral,ECM01:990002802500302716,no,La casa de Moctezuma: la incorporación de los linajes nobles del valle de México a la sociedad novohispana del siglo XVI,1993,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,martnez_a_000307451.pdf
,0,0,Y,primary,Romero Sotelo,Ma. Eugenia,283,doctoral,ECM01:990002904770302716,no,La minería novohispana durante la guerra de independencia 1810-1821,1994,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,romero_me_000301076.pdf
,0,0,Y,primary,Pacheco Gómez Muñoz,Edith,"v, 286 ",doctoral,ECM01:990002938210302716,no,Heterogeneidad laboral en la ciudad de México a fines de los ochenta,1994,,SP,doctoral,,"El Colegio de México. Centro de Estudios Demográficos, Urbanos y Ambientales",D,PDF,pacheco_me_000301068.pdf
,0,0,Y,primary,Trigueros Legarreta,Paz,"vii, 441, 18 ",doctoral,ECM01:990002938240302716,no,"Sorgo, campesinado y migrantes, el papel de la migración internacional en la reproducción de una comunidad campesina que adoptó la modernización de la agricultura",1994,,SP,doctoral,,El Colegio de México. Centro de Estudios Demográficos y de Desarrollo Urbano,D,PDF,trigueros_p_000301328.pdf
,0,0,Y,primary,Escobar Ohmstede,Antonio,392,doctoral,ECM01:990002946000302716,no,"De cabeceras a pueblos-sujetos: las continuidades y transformaciones de los pueblos indios de las huastecas hidalguense y veracruzana, 1750-1853",1994,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,escobar_a_000301038.pdf
,0,0,Y,primary,Anguiano Téllez,María Eugenia,294,doctoral,ECM01:990002963300302716,no,Estructura agraria y migración en el Valle de Mexicali,1994,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,anguiano_me_000301030.pdf
,0,0,Y,primary,Rodríguez Kuri,Ariel,511,doctoral,ECM01:990002948850302716,no,"La experiencia olvidada: el Ayuntamiento de México: política y administración, 1876-1912",1994,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,rodrguez_a_000301072.pdf
,0,0,Y,primary,Jáuregui,Luis,"xxvi, 437 ",doctoral,ECM01:990002907040302716,no,"La anatomía del fisco colonial: la estructura administrativa de la Real Hacienda Novohispana, 1786-1821",1994,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,jauregui_la_000301050.pdf
,0,0,Y,primary,Várguez Pasos,Luis A,"lviii, 322 ",doctoral,ECM01:990002958280302716,no,"Identidad, henequén y trabajo: persistencia y cambio entre los desfibradores de Yucatán",1994,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,varguez_la_000301330.pdf
,0,0,Y,primary,Meyenberg,Yolanda,"xlii, 211, 21 ",doctoral,ECM01:990001055470302716,no,Democracia y sociedad civil en España,1994,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,meyenberg_y_000301058.pdf
,0,0,Y,primary,Rodilla,María José,252,doctoral,ECM01:990002958290302716,no,Lo maravilloso medieval en El Bernardo de Balbuena,1994,,SP,doctoral,,El Colegio de México. Centro de Estudios Lingüísticos y Literarios,D,PDF,rodilla_mj_000301070.pdf
,0,0,Y,primary,Macías Richard,Carlos,"xviii, 438 ",doctoral,ECM01:990002963320302716,no,La fuerza del destino: una biografía de Plutarco Elías Calles,1994,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,macas_c_000301052.pdf
,0,0,Y,primary,Díaz Díaz,Rafael Antonio,"x, 409 ",doctoral,ECM01:990003024370302716,no,"El sistema esclavista urbano y urbano-regional en Santafé de Bogotá, 1700-1750",1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,daz_ra_000285901.pdf
,0,0,Y,primary,Loreto López,Rosalva,"v, 498 ",doctoral,ECM01:990003044590302716,no,Los conventos femeninos y la civilidad urbana en la Puebla de los ángeles del siglo XVIII,1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,loreto_r_000285944.pdf
,0,0,Y,primary,García González,Francisco,333,doctoral,ECM01:990003111390302716,no,"Sociedad y familia en Zacatecas: la vida de un microcosmos minero, 1750-1830",1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,garcia_f_000285912.pdf
,0,0,Y,primary,Canales Cerón,Alejandro,"vi, 473, 4 ",doctoral,ECM01:990003093870302716,no,"Cambio agrario y poblamiento regional en Chile, 1952-1986: el caso de la VI región",1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,canales_a_000285880.pdf
,0,0,Y,primary,Trujillo Bolio,Mario,"viii, 463 ",doctoral,ECM01:990002964070302716,no,"Operarios fabriles en el valle de México, 1864-1880: espacio, trabajo, protesta y cultura obrera",1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,trujillo_m_000285998.pdf
,0,0,Y,primary,Herrera Medrano,José de Jesús,331,doctoral,ECM01:990003111440302716,no,El cambio político a traves de los procesos electorales: Chihuahua 1983-1986 y la democracia mexicana,1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,herrera_JdeJ_000285938.pdf
,0,0,Y,primary,Muñiz Martelón,Patricia Emma,"v, 279 [74] ",doctoral,ECM01:990003092260302716,no,"Origen social, trayectorias educativas y deserción universitaria en los ochenta",1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,muiz_pe_000285960.pdf
,0,0,Y,primary,García Quiñones,Rolando,225,doctoral,ECM01:990003129660302716,no,La transición de la mortalidad en Cuba: un estudio sociodemográfico,1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,garca_r_000285914.pdf
,0,0,Y,primary,Pliego Carrasco,Fernando de Jesús,229,doctoral,ECM01:990002985930302716,no,Participación comunitaria y cambio social,1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Sociológicos,D,PDF,pliego_fdej_000285962.pdf
,0,0,Y,primary,Meyer Cosío,Francisco Javier,"vii, 288 ",doctoral,ECM01:990003093820302716,no,"La minería en Guanajuato: denuncios, minas y empresas, 1892-1913",1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,meyer_fj_000285952.pdf
,0,0,Y,primary,Ruiz de la Barrera,Rocío,"x, 505 ",doctoral,ECM01:990003043960302716,no,"La empresa de minas del Real del Monte, 1849-1906",1995,,SP,doctoral,,El Colegio de México. Centro de Estudios Históricos,D,PDF,ruiz_r_000285990.pdf
